KEGG_ID,Search_Item,KEGG_ID,Search_Item,KEGG_ID,Search_Item,KEGG_ID,Search_Item,KEGG_ID,Search_Item
cne04011,MAPK signaling pathway - yeast ,cne04138,Autophagy - yeast ,cne04139,Mitophagy - yeast ,cne04111,Cell cycle - yeast ,cne04113,Meiosis - yeast 
cng04011,MAPK signaling pathway - yeast ,cng04138,Autophagy - yeast ,cng04139,Mitophagy - yeast ,cng04111,Cell cycle - yeast ,cng04113,Meiosis - yeast 
cal04011,MAPK signaling pathway - yeast ,cal04138,Autophagy - yeast ,cal04139,Mitophagy - yeast ,cal04111,Cell cycle - yeast ,cal04113,Meiosis - yeast 
rsx04011,MAPK signaling pathway - yeast ,rsx04138,Autophagy - yeast ,rsx04139,Mitophagy - yeast ,rsx04111,Cell cycle - yeast ,rsx04113,Meiosis - yeast 
ztr04011,MAPK signaling pathway - yeast ,ztr04138,Autophagy - yeast ,ztr04139,Mitophagy - yeast ,ztr04111,Cell cycle - yeast ,ztr04113,Meiosis - yeast 
bfu04011,MAPK signaling pathway - yeast ,bfu04138,Autophagy - yeast ,bfu04139,Mitophagy - yeast ,bfu04111,Cell cycle - yeast ,bfu04113,Meiosis - yeast 
afm04011,MAPK signaling pathway - yeast ,afm04138,Autophagy - yeast ,afm04139,Mitophagy - yeast ,afm04111,Cell cycle - yeast ,afm04113,Meiosis - yeast 
